,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_11111,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,Pseudomonas
Proteobacteria_5794,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,,,Poseidonibacter
Proteobacteria_9815,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. 169,,Stenotrophomonas sp. 169
Actinobacteria_2512,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. S5,,Nocardioides sp. S5
Bacteroidetes_1380,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indoltheticum,,Chryseobacterium indoltheticum
Proteobacteria_5564,Bacteria,Proteobacteria,,Deltaproteobacteria,Syntrophales,Syntrophaceae,Desulfomonile,Desulfomonile tiedjei,Desulfomonile tiedjei DSM 6799,Desulfomonile tiedjei DSM 6799
Verrucomicrobia_47,Bacteria,Verrucomicrobia,PVC group,,,,,,,PVC group
Firmicutes_Tenericutes_4596,Bacteria,Firmicutes,Terrabacteria group,,,,,,,Terrabacteria group
Proteobacteria_8740,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,,,Variovorax
Firmicutes_Tenericutes_551,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Proteobacteria_11484,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter seifertii,,Acinetobacter seifertii
Proteobacteria_8805,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Firmicutes_Tenericutes_60,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus larvae,,Paenibacillus larvae
Firmicutes_Tenericutes_1226,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,Gracilibacillus salitolerans,,Gracilibacillus salitolerans
Proteobacteria_8697,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,,Comamonadaceae
Proteobacteria_9807,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp. NA06056,,Stenotrophomonas sp. NA06056
Cyanobacteria_314,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis thermalis,Chroococcidiopsis thermalis PCC 7203,Chroococcidiopsis thermalis PCC 7203
Proteobacteria_10163,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,
Proteobacteria_11107,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Halopseudomonas,,,Halopseudomonas
Proteobacteria_11114,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,,Pseudomonadaceae
Proteobacteria_5537,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,,,,,Desulfobacterales
Proteobacteria_7629,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceicoccus,,,Croceicoccus
Proteobacteria_8731,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax sp. RKNM96,,Variovorax sp. RKNM96
Proteobacteria_9750,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,,Xanthomonadaceae
Actinobacteria_311,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,,,Nocardiopsis
Firmicutes_Tenericutes_1161,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,,,,Bacillaceae
Proteobacteria_11483,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter seifertii,,Acinetobacter seifertii
Bacteroidetes_1078,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_374,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. TS19,,Hymenobacter sp. TS19
Elusimicrobia_1,Bacteria,Elusimicrobia,,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum,Elusimicrobium minutum Pei191,Elusimicrobium minutum Pei191
Proteobacteria_11652,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,,Acinetobacter johnsonii
Proteobacteria_7946,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,Commensalibacter sp. AMU001,,Commensalibacter sp. AMU001
Proteobacteria_9426,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,,,Oxalobacteraceae
Bacteroidetes_1475,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. 6424,,Chryseobacterium sp. 6424
Proteobacteria_11583,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,,Acinetobacter calcoaceticus
Bacteroidetes_1339,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,,,Gramella
Bacteroidetes_1398,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium nakagawai,,Chryseobacterium nakagawai
Cyanobacteria_184,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Firmicutes_Tenericutes_1664,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. S3,,Bacillus sp. S3
Firmicutes_Tenericutes_714,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,,,,Clostridiaceae
Firmicutes_Tenericutes_515,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Proteobacteria_10565,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,,Pseudomonas putida
Planctomycetes_51,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Lacipirellulaceae,,,,Lacipirellulaceae
Proteobacteria_10239,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,Pseudomonas
Proteobacteria_10340,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas psychrotolerans,,Pseudomonas psychrotolerans
Proteobacteria_11196,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,,,,Oceanospirillaceae
Proteobacteria_11197,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea japonica,Amphritea japonica ATCC BAA-1530,Amphritea japonica ATCC BAA-1530
Proteobacteria_5533,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,,,Desulfobulbus
Proteobacteria_827,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,,Klebsiella pneumoniae
Proteobacteria_8721,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,,Polaromonas
Proteobacteria_8812,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,
Bacteroidetes_1040,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Proteobacteria_5536,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio,Desulfurivibrio alkaliphilus,Desulfurivibrio alkaliphilus AHT 2,Desulfurivibrio alkaliphilus AHT 2
Proteobacteria_8240,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuriferula,Sulfuriferula sp. AH1,,Sulfuriferula sp. AH1
Acidobacteria_42,Bacteria,Acidobacteria,,Acidobacteriia,,,,,,Acidobacteriia
Bacteroidetes_389,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,Hymenobacter
Firmicutes_Tenericutes_918,Bacteria,Firmicutes,Terrabacteria group,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus harei,,Peptoniphilus harei
Proteobacteria_11567,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,,Acinetobacter nosocomialis
Proteobacteria_5264,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,Legionella
Proteobacteria_9294,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,Polynucleobacter necessarius,,Polynucleobacter necessarius
Firmicutes_Tenericutes_2048,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,,Enterococcus faecium
Proteobacteria_1842,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_4119,Bacteria,Proteobacteria,,,,,,,,Proteobacteria
Proteobacteria_5449,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Chromatiaceae,,,,Chromatiaceae
Proteobacteria_5608,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfuromonadales,,,,,Desulfuromonadales
Proteobacteria_7552,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium sp. SYK-6,,Sphingobium sp. SYK-6
Proteobacteria_9931,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,,Pseudoxanthomonas
Firmicutes_Tenericutes_1061,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Heliobacteriaceae,,,,Heliobacteriaceae
Proteobacteria_5321,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,,,,Legionellaceae
Proteobacteria_7445,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,,,,,Rhodobacterales
Proteobacteria_11203,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillum,Saccharospirillum mangrovi,,Saccharospirillum mangrovi
Proteobacteria_11476,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter seifertii,,Acinetobacter seifertii
Bacteroidetes_740,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482,Bacteroides thetaiotaomicron VPI-5482
Firmicutes_Tenericutes_1828,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,Anoxybacillus amylolyticus,,Anoxybacillus amylolyticus
Firmicutes_Tenericutes_593,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,Acetivibrio saccincola,,Acetivibrio saccincola
Proteobacteria_11455,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter haemolyticus,,Acinetobacter haemolyticus
Actinobacteria_2296,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Agreia,Agreia sp. COWG,,Agreia sp. COWG
Proteobacteria_7647,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. THN1,,Novosphingobium sp. THN1
Proteobacteria_8668,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,,Comamonadaceae
Actinobacteria_504,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter marinus,,Modestobacter marinus
Firmicutes_Tenericutes_2067,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,,Enterococcus faecium
Proteobacteria_10353,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,Azotobacter vinelandii DJ,Azotobacter vinelandii DJ
Proteobacteria_10574,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas plecoglossicida,,Pseudomonas plecoglossicida
Proteobacteria_10938,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas atacamensis,,Pseudomonas atacamensis
Proteobacteria_11597,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,,Acinetobacter bereziniae
Proteobacteria_8233,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methyloradius,Methyloradius palustris,,Methyloradius palustris
Actinobacteria_2172,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter,,,Leucobacter
Actinobacteria_2552,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium sp. zg-629,,Aeromicrobium sp. zg-629
Bacteroidetes_312,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,,Sphingobacteriaceae
Bacteroidetes_996,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Firmicutes_Tenericutes_2910,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp. wkB8,,Lactobacillus sp. wkB8
Proteobacteria_3714,Bacteria,Proteobacteria,,Gammaproteobacteria,Orbales,Orbaceae,Frischella,Frischella perrara,,Frischella perrara
Firmicutes_Tenericutes_4694,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp. 107-1,,Planococcus sp. 107-1
Proteobacteria_3733,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia alcalifaciens,,Providencia alcalifaciens
Proteobacteria_10172,Bacteria,Proteobacteria,,Gammaproteobacteria,Methylococcales,Methylococcaceae,,,,Methylococcaceae
Proteobacteria_7334,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodovulum,,,Rhodovulum
Proteobacteria_787,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,,Klebsiella pneumoniae
Proteobacteria_8165,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,,,,Anaplasmataceae
Actinobacteria_2423,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas sp. zg-ZUI188,,Cellulomonas sp. zg-ZUI188
Actinobacteria_742,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glaucum,,Corynebacterium glaucum
Bacteroidetes_1369,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium camelliae,,Chryseobacterium camelliae
Bacteroidetes_1371,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium shandongense,,Chryseobacterium shandongense
Bacteroidetes_1387,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium sp. 3008163,,Chryseobacterium sp. 3008163
Deinococcus-Thermus_63,Bacteria,Deinococcus-Thermus,Terrabacteria group,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiopugnans,,Deinococcus radiopugnans
Firmicutes_Tenericutes_1008,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera stantonii,,Megasphaera stantonii
Firmicutes_Tenericutes_1791,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus aquiflavi,,Bacillus aquiflavi
Firmicutes_Tenericutes_3309,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella cibaria,,Weissella cibaria
Proteobacteria_10381,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,Pseudomonas stutzeri RCH2,Pseudomonas stutzeri RCH2
Proteobacteria_11479,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter seifertii,,Acinetobacter seifertii
Proteobacteria_11596,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,,Acinetobacter bereziniae
Proteobacteria_11682,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,,,Acinetobacter
Proteobacteria_6656,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Filomicrobium,Candidatus Filomicrobium marinum,,Candidatus Filomicrobium marinum
Proteobacteria_676,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,Serratia marcescens subsp. marcescens ATCC 13880,Serratia marcescens subsp. marcescens ATCC 13880
Proteobacteria_7083,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,Devosia ginsengisoli,,Devosia ginsengisoli
Proteobacteria_7568,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,,,Erythrobacteraceae
Proteobacteria_7717,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,Sphingomonas paucimobilis
Proteobacteria_9272,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia syzygii,,Ralstonia syzygii
Proteobacteria_9354,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,,,Janthinobacterium
Proteobacteria_936,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,,Klebsiella pneumoniae
Bacteroidetes_398,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sedentarius,,Hymenobacter sedentarius
Actinobacteria_497,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Firmicutes_Tenericutes_563,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,Flavonifractor plautii,,Flavonifractor plautii
Proteobacteria_5469,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Archangiaceae,,,,Archangiaceae
Bacteroidetes_316,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Anseongella,Anseongella ginsenosidimutans,,Anseongella ginsenosidimutans
Bacteroidetes_1502,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,,Riemerella anatipestifer
Bacteroidetes_229,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,,Mucilaginibacter
Proteobacteria_10408,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,Pseudomonas stutzeri
Proteobacteria_1200,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella variicola,,Klebsiella variicola
Proteobacteria_6843,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,,,,Brucellaceae
Proteobacteria_7621,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,,,Erythrobacteraceae
Proteobacteria_10437,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas khazarica,,Pseudomonas khazarica
Proteobacteria_846,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,,Klebsiella pneumoniae
Proteobacteria_8493,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,,,,,Neisseriales
Bacteroidetes_1088,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Proteobacteria_9722,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Amblyomma americanum,,Coxiella endosymbiont of Amblyomma americanum
Cyanobacteria_274,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Nostocales,Nostocaceae,Nostoc,Nostoc sp. UHCC 0870,,Nostoc sp. UHCC 0870
Firmicutes_Tenericutes_4362,Bacteria,Tenericutes,Terrabacteria group,,Mycoplasmoidales,Metamycoplasmataceae,Metamycoplasma,,,Metamycoplasma
Proteobacteria_6631,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans,Azorhizobium caulinodans ORS 571,Azorhizobium caulinodans ORS 571
Bacteroidetes_373,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter sp. DG01,,Hymenobacter sp. DG01
Actinobacteria_2621,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,,Propionibacterium freudenreichii
Bacteroidetes_1064,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium faecale,,Flavobacterium faecale
Bacteroidetes_1080,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Bacteroidetes_505,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas sp. HDW5A,,Dysgonomonas sp. HDW5A
Bacteroidetes_727,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,,Bacteroides salyersiae
Bacteroidetes_977,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Firmicutes_Tenericutes_554,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,,,,Oscillospiraceae
Firmicutes_Tenericutes_567,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_594,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_613,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Christensenella minuta,,Christensenella minuta
Proteobacteria_1268,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,,Klebsiella aerogenes
Proteobacteria_1719,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia radicincitans,,Kosakonia radicincitans
Proteobacteria_1730,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia sacchari,Kosakonia sacchari SP1,Kosakonia sacchari SP1
Proteobacteria_3377,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Erwinia tracheiphila,,Erwinia tracheiphila
Proteobacteria_5562,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,,,,,Desulfobacterales
Proteobacteria_5576,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter pickeringii,,Geobacter pickeringii
Proteobacteria_5600,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geotalea,Geotalea daltonii,Geotalea daltonii FRC-32,Geotalea daltonii FRC-32
Proteobacteria_7066,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas,,,Aureimonas
Proteobacteria_7073,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,,,,Aurantimonadaceae
Proteobacteria_7820,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,,,Magnetospirillum
Proteobacteria_812,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,,Klebsiella pneumoniae
Proteobacteria_9372,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,,,Oxalobacteraceae
Proteobacteria_9394,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,,Massilia
Spirochaetes_116,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema pedis,,Treponema pedis
Bacteroidetes_1025,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,Flavobacterium
Chlorobi_13,Bacteria,Chlorobi,FCB group,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,,,Prosthecochloris
Proteobacteria_11582,Bacteria,Proteobacteria,,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,,Acinetobacter calcoaceticus
Actinobacteria_1996,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Micrococcaceae,,,,Micrococcaceae
